headline,url,category,content,cluster,cluster_name
UK's Deliveroo to be bought by US firm DoorDash in ?2.9bn deal,https://www.bbc.com/news/articles/c5yr1nz7jwko,business,,0,politics
Car giant Ford and Barbie maker Mattel warn over tariffs costs,https://www.bbc.com/news/articles/cly1e7ll07do,business,,0,politics
World of Business,https://cloud.email.bbc.com/WorldofBusiness_Newsletter_Signup?&at_bbc_team=studios&at_medium=emails&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.com&at_format=Module&at_link_origin=homepage&at_campaign=wob&at_campaign_type=owned,business,,2,arts/culture/celebrities
Trump considering 100% tariffs on movies not made in the US,https://www.bbc.com/news/articles/cjr7e2z1rxyo,business,,1,business
OpenAI says non-profit will remain in control after backlash,https://www.bbc.com/news/articles/cwy603eg0w8o,business,,2,arts/culture/celebrities
Car giant Ford and Barbie maker Mattel warn over tariffs costs,https://www.bbc.com/news/articles/cly1e7ll07do,business,,0,politics
India worried about Chinese 'dumping' as trade tensions with Trump escalate,https://www.bbc.com/news/articles/ckg5d505v8xo,business,,1,business
Deliveroo deal shows UK still can't hang on to big firms,https://www.bbc.com/news/articles/cvgp22d2kexo,business,,0,politics
What Canada's Mark Carney can expect when he meets Trump,https://www.bbc.com/news/videos/cwyn9vv9852o,business,,1,business
World of Business,https://cloud.email.bbc.com/WorldofBusiness_Newsletter_Signup?&at_bbc_team=studios&at_medium=emails&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.com&at_format=Module&at_link_origin=homepage&at_campaign=wob&at_campaign_type=owned,business,,2,arts/culture/celebrities
Colombia's wind farms bring promise and pain for indigenous group,https://www.bbc.com/news/articles/ckg2ekjjgldo,business,,2,arts/culture/celebrities
Deported gang members get second chance at call centre,https://www.bbc.com/news/articles/c93g2e332d9o,business,,2,arts/culture/celebrities
"Highly unlikely for tariffs to be ratcheted up, expert says",https://www.bbc.com/reel/video/p0l6j1mj/highly-unlikely-for-tariffs-to-be-ratcheted-up-expert-says,business,,2,arts/culture/celebrities
The ex-Google exec who wants to simplify your life,https://www.bbc.com/worklife/article/20250313-the-ex-google-exec-who-wants-to-simplify-your-life,business,,2,arts/culture/celebrities
Trump film tariffs to be part of UK-US trade talks,https://www.bbc.com/news/articles/cz01kx3yrmvo,business,,0,politics
What impact might Trump's Hollywood tariffs plan have?,https://www.bbc.com/news/articles/cwy04kjwk09o,business,,1,business
Elon Musk's Starbase in Texas will officially become a city,https://www.bbc.com/news/articles/c39j8rj4nmmo,business,,2,arts/culture/celebrities
How Carney's election win will change direction of trade war,https://www.bbc.com/news/articles/cgjlqwxevd0o,business,,1,business
London's 'spiralling' housing crisis in numbers,https://www.bbc.com/news/articles/cgkg54nd5d5o,business,,2,arts/culture/celebrities
"Warren Buffett, 94, stepping down as Berkshire Hathaway CEO",https://www.bbc.com/news/articles/cqj4nev7p70o,business,,2,arts/culture/celebrities
Playing with FIRE: How to quit work and retire in your 30s,https://www.bbc.com/reel/video/p09qwdp6/playing-with-fire-how-to-quit-work-and-retire-in-your-30s,business,,2,arts/culture/celebrities
Boomerang CEOs: Do they ever succeed?,https://www.bbc.com/reel/video/p0h9q7kj/boomerang-ceos-do-they-ever-succeed-,business,,2,arts/culture/celebrities
How industry leaders transformed their career,https://www.bbc.com/reel/video/p0h4hbs4/how-industry-leaders-transformed-their-career,business,,2,arts/culture/celebrities
Women were the original beer brewers - what changed?,https://www.bbc.com/reel/video/p0gwgmz8/women-were-the-original-beer-brewers-what-changed-,business,,2,arts/culture/celebrities
How waiting alters our perception of time,https://www.bbc.com/reel/video/p09cdyyd/how-waiting-alters-our-perception-of-time,business,,2,arts/culture/celebrities
Do the super-rich 'deserve' their wealth?,https://www.bbc.com/reel/video/p0fv01m1/do-the-super-rich-deserve-their-wealth-,business,,2,arts/culture/celebrities
Four simple hacks to succeed in every conversation,https://www.bbc.com/reel/video/p098mgm9/four-simple-hacks-to-succeed-in-every-conversation,business,,2,arts/culture/celebrities
Solo and hybrid work: Navigating our future and new normal,https://www.bbc.com/reel/video/p09p4p1r/solo-and-hybrid-work-navigating-our-future-and-new-normal,business,,2,arts/culture/celebrities
Can supersonic flight ever be sustainable?,https://www.bbc.com/reel/video/p0c5mvlh/can-supersonic-flight-ever-be-sustainable-,business,,2,arts/culture/celebrities
Commencement speech: The surprising pitfall of your passions,https://www.bbc.com/reel/video/p0fq5w2r/commencement-speech-the-surprising-pitfall-of-your-passions,business,,2,arts/culture/celebrities
A desk full of descriptions for your work colleagues,https://www.bbc.com/reel/video/p0d20p52/a-desk-full-of-descriptions-for-your-work-colleagues,business,,2,arts/culture/celebrities
Veterinarian suicide rates are very high. Why?,https://www.bbc.com/reel/video/p0gkmzb8/veterinarian-suicide-rates-are-very-high-why-,business,,2,arts/culture/celebrities
