title,url,category,content
"Canada's trade deficit narrows to $506M in March, driven by slump in U.S. imports",https://www.cbc.ca/news/business/canada-trade-deficit-march-1.7527457,business,
Greg Abel named CEO of Berkshire following Buffett's retirement announcement,https://www.cbc.ca/news/world/warren-buffett-retirement-announcement-berkshire-hathaway-1.7525926,world,
Startups aim to bring EV charging to apartment and condo dwellers,https://www.cbc.ca/news/science/ev-charging-multiresidential-1.7522564,science,
"After Trump vows tariffs on foreign movies, the Canadian film industry says he's lost the plot",https://www.cbc.ca/news/business/trump-us-film-industry-tariffs-1.7526419,business,
"Dissident to fight board vote delay in court after Parkland, Sunoco ink $9.1B US deal",https://www.cbc.ca/news/canada/calgary/dissident-to-fight-board-vote-delay-in-court-after-parkland-sunoco-ink-9-1b-us-deal-1.7526406,canada,
Peace Bridge duty-free shop goes into receivership as cross-border travel plummets,https://www.cbc.ca/news/canada/hamilton/duty-free-shops-1.7520595,canada,
The U.S. tax loophole that made Shein and Temu rich is changing. What will happen to the brands now?,https://www.cbc.ca/news/business/shein-temu-de-minimis-exemption-end-1.7522979,business,
Competition Bureau takes Canada's Wonderland to court over alleged 'deceptive marketing practices',https://www.cbc.ca/news/canada/toronto/competition-bureau-canada-wonderland-alleged-misleading-advertising-1.7526933,canada,
"Flaunting fur might be back, thanks in part to vintage buyers and sustainable shoppers",https://www.cbc.ca/radio/costofliving/fur-resurgence-1.7519080,costofliving,
An energy superpower? Oilpatch skeptical of Carney's support for the sector,https://www.cbc.ca/news/canada/calgary/oil-sector-mark-carney-1.7521971,canada,
Now comes the hard part for Mark Carney,https://www.cbc.ca/news/business/armstrong-election-economy-1.7521865,business,
"Canada's economy shrank 0.2% in February, but signs point to growth in March: StatsCan",https://www.cbc.ca/news/business/canada-gdp-february-1.7522455,business,
"68,000 job losses possible in Ontario this year due to U.S. trade war: report",https://www.cbc.ca/news/canada/toronto/fao-report-ontario-impact-us-trade-war-1.7522571,canada,
"China draws up list of U.S.-made goods exempt from 125% tariffs, sources say",https://www.cbc.ca/news/business/china-tariff-whitelist-1.7522535,business,
Trump says order to soften auto tariffs' impact will give a 'little relief' to industry,https://www.cbc.ca/news/business/trump-reduce-auto-tariffs-1.7521474,business,
"George Clooney scores 2025 Tony Award nod, but Denzel Washington, Kieran Culkin snubbed",https://www.cbc.ca/news/entertainment/2025-tony-award-nominations-1.7523676,entertainment,
Weinstein accuser tells jury about alleged sexual assault: 'The unthinkable was happening',https://www.cbc.ca/news/entertainment/weinstein-rape-retrial-1.7522727,entertainment,
"Colman Domingo, cast found ‘chosen family-level friends’ in The Four Seasons",https://www.cbc.ca/player/play/video/9.6743867,play,
The federal NDP had its worst election ever. Now what?,https://www.cbc.ca/news/politics/ndp-future-new-leader-party-status-1.7523223,politics,
"With less than 1% of the vote, does the People's Party of Canada have a future?",https://www.cbc.ca/news/politics/peoples-party-of-canada-ppc-maxime-bernier-election-2025-1.7523653,politics,
"Singer-songwriter Jill Sobule, who had a hit with I Kissed a Girl, dead after house fire",https://www.cbc.ca/news/entertainment/obit-singer-songwriter-sobule-1.7524651,entertainment,
"Chloë Sevigny, Lily McInerny on 'Bonjour Tristesse' and director Durga Chew-Bose",https://www.cbc.ca/player/play/video/9.6746996,play,
"King Charles will visit Canada, deliver throne speech to open Parliament",https://www.cbc.ca/news/politics/king-charles-canada-visit-1.7524946,politics,
"Eurovision bans Pride flags for performers, lifts restrictions on flags for spectators",https://www.cbc.ca/news/entertainment/eurovision-bans-pride-flags-1.7524275,entertainment,
How will Carney contend with a minority — and what kind of Parliament do MPs want?,https://www.cbc.ca/news/politics/carney-minority-parliament-poilievre-analysis-1.7525414,politics,
Liberal minority back up to 169 after Elections Canada validates close Ontario race,https://www.cbc.ca/news/politics/election-validation-riding-flip-liberal-conservative-1.7525641,politics,
Poilievre to run for Alberta seat after MP Damien Kurek agrees to step down,https://www.cbc.ca/news/politics/poilievre-to-run-in-alberta-byelection-1.7525104,politics,
Dodging landmines: How Carney navigated his Trump meeting  | About That,https://www.cbc.ca/player/play/video/9.6750754,play,
Conservatives choose Andrew Scheer as interim Opposition leader | Power & Politics,https://www.cbc.ca/player/play/video/9.6750555,play,
How Quebec's updated rules on pricing errors in stores could benefit you,https://www.cbc.ca/player/play/video/9.6748557,play,
"For the first time, MPs born in the 21st century are headed to the Hill",https://www.cbc.ca/news/politics/first-mps-born-21st-century-1.7525106,politics,
Charting the vote thieves: A visual breakdown of party gains and losses,https://www.cbc.ca/news/politics/charting-the-vote-thieves-a-visual-breakdown-of-party-gains-and-losses-1.7522558,politics,
Why the race to be the next pope is ‘wide open’,https://www.cbc.ca/player/play/video/9.6750824,play,
Cardinals sequestered to select new pope in most diverse conclave ever,https://www.cbc.ca/player/play/video/9.6750805,play,
NDP appoints Don Davies as interim leader Monday evening,https://www.cbc.ca/news/politics/ndp-new-leader-1.7526573,politics,
Why Alberta separation is seen as a 'real possibility',https://www.cbc.ca/player/play/video/9.6750551,play,
